placeId,name,address,lat,lng,types,category
ChIJR-ud98TzNIgREwnaG2ksz6k,DiAnoia's Eatery,"2549 Penn Ave, Pittsburgh, PA 15222, United States",40.4549226,-79.97877729999999,"cafe,bar,store,restaurant,food,point_of_interest,establishment",restaurant
ChIJZU5v0vbtNIgRMii7ACbO6JI,Point Brugge Cafe,"401 Hastings St, Pittsburgh, PA 15206, United States",40.4500886,-79.91392309999999,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJJaPE5unzNIgRtejYOpsTUgg,BALVANERA,"1660 Smallman St, Pittsburgh, PA 15222, United States",40.4499853,-79.98688059999999,"restaurant,food,point_of_interest,establishment",restaurant
ChIJAQCw1FfxNIgR8gdJyIh-4fM,Social House 7,"123 7th St, Pittsburgh, PA 15222, United States",40.444072,-80.000344,"restaurant,food,point_of_interest,establishment",restaurant
ChIJTZlzAgDzNIgR8Z-LifC0NrQ,Grapow,"411 S Craig St, Pittsburgh, PA 15213, United States",40.4448787,-79.9484104,"restaurant,food,point_of_interest,establishment",restaurant
ChIJdVCquinyNIgR2oRCbBuyh3A,Hemingway's Cafe,"3911 Forbes Ave, Pittsburgh, PA 15213, United States",40.4422489,-79.95618879999999,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJofJwzFbxNIgRC57bGvzRYKE,The Rebel Room,"405 Wood St, Pittsburgh, PA 15222, United States",40.4395984,-80.0014058,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJ2yPqm_fyNIgRrX4_XAqLAjw,Pusadee's Garden,"5319 Butler St, Pittsburgh, PA 15201, United States",40.4825477,-79.9519725,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ784vwP7zNIgRbVdQMYJd8MA,Spirits & Tales,"5130 Bigelow Blvd, Pittsburgh, PA 15213, United States",40.4449359,-79.9550611,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJMwNf-k3xNIgRKJcrlH1YVqQ,Forbes Tavern,"310 Forbes Ave, Pittsburgh, PA 15222, United States",40.4398419,-80.00043289999999,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJb_pzMADzNIgR3xqhu9z9SR0,CAVA,"3619 Forbes Ave, Pittsburgh, PA 15213, United States",40.4410252,-79.9579402,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ-QhLYVbxNIgR7Hk4Ca0Qesc,täkō,"214 6th St, Pittsburgh, PA 15222, United States",40.4423048,-80.0021624,"bar,restaurant,food,point_of_interest,establishment",restaurant
